Stock,Symbol,Signal Date,Signal,Entry Price,Stop Loss,Take Profit,Shares,Exit Date,Exit Price,Bars Held,Exit Reason,Status,Position Value,Entry Transaction Cost,Gross PnL,Exit Transaction Cost,Transaction Costs,Net PnL,Return %,Capital Before,Capital After
TATAMOTORS,TATAMOTORS-EQ,2023-03-29,SELL,247.47228,259.84589400000004,222.725052,54,2023-04-06,260.105739894,4,STOP_LOSS,CLOSED,13363.503120000001,6.681751560000001,-682.2068342759999,7.022854977138,13.704606537138002,-695.9114408131379,-5.207552499999999,67227.19757617966,66531.28613536654
SBIN,SBIN-EQ,2023-04-26,BUY,566.91635,538.5705324999999,623.607985,27,2023-07-21,614.8845,60,TIME_EXIT,CLOSED,15306.74145,7.653370724999999,1295.1400500000009,8.30094075,15.954311475,1279.185738525001,8.357008855892062,78131.80390757442,79410.98964609942
SUZLON,SUZLON-EQ,2023-05-26,BUY,10.009999999999998,9.509499999999997,11.011,1625,2023-05-31,10.999989,3,TAKE_PROFIT,CLOSED,16266.249999999996,8.133125,1608.7321250000023,8.9374910625,17.0706160625,1591.6615089375023,9.785055000000016,81365.41946421942,82957.08097315693
RELIANCE,RELIANCE-EQ,2023-06-12,BUY,1128.75763,1072.3197485,1241.633393,14,2023-07-10,1240.391759607,19,TAKE_PROFIT,CLOSED,15802.60682,7.901303410000001,1562.8778144979997,8.682742317249,16.584045727249,1546.2937687707506,9.785054999999996,82957.08097315693,84503.37474192768
RELIANCE,RELIANCE-EQ,2024-10-29,SELL,1338.66,1405.593,1204.794,15,2024-12-20,1205.9987939999999,36,TAKE_PROFIT,CLOSED,20079.9,10.039950000000001,1989.9180900000033,9.044990955,19.084940955,1970.8331490450032,9.814955000000015,101096.95530117767,103067.78845022268
TATAMOTORS,TATAMOTORS-EQ,2024-11-08,SELL,487.11240000000004,511.4680200000001,438.40116000000006,33,2024-12-20,438.83956116,28,TAKE_PROFIT,CLOSED,16074.709200000001,8.0373546,1593.0036817200007,7.240852759140001,15.278207359140001,1577.7254743608607,9.814955000000005,81007.01535117767,82584.74082553854
IRFC,IRFC-EQ,2025-01-24,SELL,140.53932,147.56628600000002,126.485388,148,2025-01-30,147.713852286,4,STOP_LOSS,CLOSED,20799.81936,10.39990968,-1061.8307783279981,10.930825069164,21.330734749164,-1083.1615130771622,-5.207552499999991,104645.51392458355,103562.35241150638
SBIN,SBIN-EQ,2025-02-07,SELL,736.4628,773.2859400000001,662.8165200000001,28,2025-03-24,774.05922594,29,STOP_LOSS,CLOSED,20620.9584,10.3104792,-1052.6999263200005,10.836829163160001,21.14730836316,-1073.8472346831604,-5.207552500000002,103562.35241150638,102488.50517682322
SUZLON,SUZLON-EQ,2025-02-13,SELL,53.29665,55.9614825,47.966985,311,2025-02-21,56.0174439825,6,STOP_LOSS,CLOSED,16575.25815,8.287629075000002,-846.1669285574994,8.71071253927875,16.99834161427875,-863.1652701717782,-5.207552499999997,82931.0835323064,82067.91826213461
ITC,ITC-EQ,2025-02-19,SELL,405.99359999999996,426.29328,365.39423999999997,32,2025-04-15,426.7195732799999,34,STOP_LOSS,CLOSED,12991.795199999999,6.495897599999999,-663.2311449599983,6.827513172479999,13.323410772479999,-676.5545557324783,-5.207552499999988,66347.53775323139,65670.9831974989
SBIN,SBIN-EQ,2025-04-28,BUY,818.1673499999999,777.2589824999999,899.984085,24,2025-05-06,776.4817235174999,5,STOP_LOSS,CLOSED,19636.0164,9.818008200000001,-1000.455035580002,9.31778068221,19.13578888221,-1019.590824462212,-5.192452500000011,100948.78535091897,99929.19452645676
RELIANCE,RELIANCE-EQ,2025-05-13,BUY,1417.1156999999998,1346.2599149999999,1558.82727,14,2025-08-05,1390.3083000000001,60,TIME_EXIT,CLOSED,19839.619799999997,9.919809899999999,-375.30359999999564,9.732158100000001,19.651968,-394.95556799999565,-1.9907416169335852,99929.19452645676,99534.23895845677
SUZLON,SUZLON-EQ,2025-05-19,BUY,61.59152999999999,58.51195349999999,67.750683,260,2025-05-28,67.682932317,7,TAKE_PROFIT,CLOSED,16013.797799999998,8.0068989,1583.764602420001,8.79878120121,16.80568010121,1566.9589223187909,9.785055000000007,80079.65491655677,81646.61383887556
SUZLON,SUZLON-EQ,2025-09-25,SELL,56.58336,59.412528,50.925024,357,2025-10-31,59.471940528,24,STOP_LOSS,CLOSED,20200.25952,10.10012976,-1031.2232484959995,10.615741384248002,20.715871144248002,-1051.9391196402476,-5.207552499999998,101101.19788077558,100049.25876113532
RELIANCE,RELIANCE-EQ,2026-03-09,SELL,1422.576,1493.7048,1280.3184,14,2026-06-08,1281.5987184,59,TAKE_PROFIT,CLOSED,19916.064,9.958032,1973.6819423999996,8.9711910288,18.9292230288,1954.7527193711996,9.814955,100049.25876113532,102004.01148050652
SUZLON,SUZLON-EQ,2026-06-04,BUY,55.67561999999999,52.89183899999998,61.24318199999999,287,2026-07-08,52.838947160999986,23,STOP_LOSS,CLOSED,15978.902939999996,7.989451469999999,-814.1251047930006,7.582388917603498,15.571840387603498,-829.6969451806041,-5.192452500000004,80123.23672913533,79293.53978395472
SUZLON,SUZLON-EQ,2026-07-31,SELL,47.96199,50.3600895,43.165791,421,,,7,POSITION_OPEN,OPEN,20191.99779,10.095998895000001,0.0,0.0,10.095998895000001,0.0,0.0,101174.31453532592,80972.22074643092
