Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
AMDIND-EQ,51.18,46.93,45.04,64.4,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:13
NAHARINDUS-EQ,119.1,118.35,108.73,49.57,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:14
NAHARSPING-EQ,304.5,284.06,234.1,58.69,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:16
IFCI-EQ,73.51,73.99,63.65,47.68,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:47:17
RAIN-EQ,209.38,209.22,161.61,46.55,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:18
TIPSFILMS-EQ,362.0,361.11,366.8,49.07,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:47:20
JAIBALAJI-EQ,65.81,65.17,67.65,53.79,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:21
RAMKY-EQ,387.7,399.61,459.68,45.64,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:47:22
DBCORP-EQ,211.5,208.25,220.2,57.1,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:24
MUFIN-EQ,135.4,129.68,118.49,60.17,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:25
IVZINGOLD-EQ,132.55,126.57,128.29,69.48,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:27
SUPERHOUSE-EQ,158.2,158.2,152.94,48.88,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:28
JSWINFRA-EQ,346.6,323.34,284.74,62.63,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:29
SSWL-EQ,312.5,277.6,223.86,67.47,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:31
KIRIINDUS-EQ,434.45,409.05,439.09,64.75,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:32
LLOYDSENGG-EQ,92.41,87.08,64.37,54.87,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:34
ASIANHOTNR-EQ,302.15,306.57,304.04,46.78,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:47:35
IRMENERGY-EQ,293.65,271.19,258.32,67.15,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:36
APOLLOTYRE-EQ,444.3,431.02,446.16,60.2,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:38
PIGL-EQ,112.0,109.31,111.54,53.86,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:39
REDTAPE-EQ,126.63,132.46,127.16,40.58,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:47:40
GOLDADD-EQ,148.7,141.4,143.37,72.48,HOLD,33.33,No complete signal,168,2026-08-12 19:47:42
HPIL-EQ,126.95,126.54,128.53,51.02,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:43
HISARMETAL-EQ,149.0,151.63,155.04,46.75,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:47:45
BIGBLOC-EQ,45.87,47.67,53.8,41.92,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:47:46
ADFFOODS-EQ,261.1,284.73,241.29,35.84,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:47:47
KALAMANDIR-EQ,85.3,94.31,109.68,28.56,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:47:49
SIGMA-EQ,46.1,42.72,44.67,57.11,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:50
DBREALTY-EQ,113.45,114.37,112.63,48.05,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:47:52
SHANKARA-EQ,141.5,135.14,118.56,60.7,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:53
SALONA-EQ,254.95,253.84,262.69,53.59,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:47:54
SETF10GILT-EQ,266.79,264.47,260.49,59.69,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:56
ARENTERP-EQ,37.29,38.43,40.18,46.93,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,167,2026-08-12 19:47:57
