Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
NKIND-EQ,60.25,62.1,64.17,47.24,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,165,2026-08-12 19:49:02
HINDWAREAP-EQ,205.0,225.82,230.67,31.71,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:05
OMINFRAL-EQ,88.29,88.44,88.75,49.39,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:08
PATANJALI-EQ,350.8,376.81,460.87,36.38,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:09
UNITEDTEA-EQ,461.0,479.38,493.83,39.85,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:11
PROZONER-EQ,41.7,44.43,49.9,39.88,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:13
NEXT50IETF-EQ,78.61,76.59,73.35,66.85,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:49:15
RCF-EQ,124.11,127.86,129.71,38.61,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:16
MASTERTR-EQ,78.51,82.36,87.86,39.93,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:17
KREBSBIO-EQ,54.74,56.52,59.46,46.71,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:19
UCAL-EQ,116.25,114.66,107.78,50.28,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:49:20
SWANCORP-EQ,307.7,313.87,358.52,44.34,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:23
GPPL-EQ,149.79,151.59,161.99,46.23,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:27
MAHLOG-EQ,410.0,395.67,370.22,55.71,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:49:33
HONASA-EQ,467.4,448.45,355.07,58.72,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:49:38
DHARMAJ-EQ,280.2,266.71,254.6,65.81,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:49:40
GPIL-EQ,228.99,250.86,263.98,30.13,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:41
SUNTV-EQ,478.2,502.28,548.74,33.48,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:42
PLASTIBLEN-EQ,201.48,187.92,165.01,62.51,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:49:44
SAGCEM-EQ,175.85,176.4,185.22,49.88,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:47
MEESHO-EQ,191.89,186.22,174.53,56.46,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,166,2026-08-12 19:49:51
ROHLTD-EQ,308.0,320.36,344.54,39.69,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:52
ELIN-EQ,99.0,102.79,124.56,45.98,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:49:54
GOKULAGRO-EQ,236.6,220.9,200.11,66.37,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:49:56
