Stock,Symbol,LTP,Price,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Total Buy Quantity,Total Sell Quantity,Last Trade Quantity,Trade Volume,Average Price,SMMA20,SMMA120,RSI,ETQ 5m,ETQ 20m,ETQ 60m,Average LTP 20m,Average LTP 60m,Crossover,Crossover Price,Signal,Confidence,Liquidity Pass,LTP Pass,Reasons,Scan Time
HDFCQUAL,HDFCQUAL-EQ,60.06,60.06,0.0,0.0,0.0,0.0,0.0,0.0,89.0,16092.0,59.96,58.23265438461492,57.84965462033635,84.10256410256416,,,,,,BUY,59.38,HOLD,50.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI is overbought']",2026-08-12 17:46:23
RAMRAT,RAMRAT-EQ,473.95,473.95,473.95,394.0,0.0,0.0,394.0,0.0,27.0,777143.0,472.31,429.4238442388455,367.4754537975761,70.2082057562768,,,,,,NONE,,HOLD,50.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI is overbought']",2026-08-12 17:46:25
JYOTHYLAB,JYOTHYLAB-EQ,200.27,200.27,0.0,0.0,200.27,726.0,0.0,726.0,1.0,3414689.0,196.18,203.1719689940866,229.63143663446724,52.343750000000014,,,,,,NONE,,SELL,50.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows mild bullish momentum']",2026-08-12 17:46:28
BALPHARMA,BALPHARMA-EQ,90.5,90.5,0.0,0.0,0.0,0.0,0.0,0.0,93.0,34146.0,89.33,86.34058679343852,78.12926024085141,55.624172915747685,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:46:40
M&MFIN,M&MFIN-EQ,395.85,395.85,0.0,0.0,0.0,0.0,0.0,0.0,161.0,4492168.0,397.05,359.1462939557443,341.3438128642057,59.40959409594096,,,,,,BUY,385.75,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:46:45
TALBROAUTO,TALBROAUTO-EQ,417.35,417.35,0.0,0.0,417.35,1.0,0.0,1.0,5.0,273558.0,422.5,399.5123012381447,318.5047624844749,60.542598762494066,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:46:49
HDFCNIFTY,HDFCNIFTY-EQ,275.29,275.29,0.0,0.0,0.0,0.0,0.0,0.0,19.0,61940.0,275.27,272.13802324232586,274.827399743688,63.5924674070497,,,,,,NONE,,HOLD,25.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:46:53
RHL,RHL-EQ,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,915.0,169.87,174.18453019004488,182.83621622645498,50.585417775412445,,,,,,NONE,,SELL,50.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows mild bullish momentum']",2026-08-12 17:46:56
VGL,VGL-EQ,60.14,60.14,60.14,250.0,0.0,0.0,250.0,0.0,250.0,38093.0,61.07,62.814918640299844,64.7425269271199,36.77852348993287,,,,,,SELL,62.0,SELL,70.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows weak momentum']",2026-08-12 17:46:59
PTL,PTL-EQ,39.28,39.28,0.0,0.0,0.0,0.0,0.0,0.0,106.0,22161.0,39.14,39.99610738740267,39.498741000612334,49.668874172185376,,,,,,NONE,,HOLD,10.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows weak momentum']",2026-08-12 17:47:01
