date,Symbol,close,future_return,target,prediction,probability_up,probability_down,fold,train_start,train_end,test_start,test_end,confidence,direction,trade_return,position_size,optimized_return,result
2026-05-15 00:00:00+05:30,TATAMOTORS-EQ,356.55,0.0190716589538635,1,0,0.3459236908565045,0.6540763091434956,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6540763091434956,SELL,-0.0190716589538635,1.0,-0.0190716589538635,LOSS
2026-05-18 00:00:00+05:30,RELIANCE-EQ,1335.9,0.0232801856426378,1,0,0.3268533837210755,0.6731466162789246,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6731466162789246,SELL,-0.0232801856426378,1.0,-0.0232801856426378,LOSS
2026-05-18 00:00:00+05:30,SUZLON-EQ,53.25,0.0138967136150234,1,0,0.2402218066131082,0.7597781933868918,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7597781933868918,SELL,-0.0138967136150234,1.0,-0.0138967136150234,LOSS
2026-05-19 00:00:00+05:30,RELIANCE-EQ,1322.7,0.0254025856203219,1,0,0.3310588326374635,0.6689411673625365,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6689411673625365,SELL,-0.0254025856203219,1.0,-0.0254025856203219,LOSS
2026-05-19 00:00:00+05:30,SUZLON-EQ,52.91,0.0315630315630315,1,0,0.2230982802303042,0.7769017197696957,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7769017197696957,SELL,-0.0315630315630315,1.0,-0.0315630315630315,LOSS
2026-05-20 00:00:00+05:30,SUZLON-EQ,52.57,0.0943503899562487,1,0,0.2358084625206124,0.7641915374793875,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7641915374793875,SELL,-0.0943503899562487,1.0,-0.0943503899562487,LOSS
2026-05-21 00:00:00+05:30,ITC-EQ,308.05,-0.0686576854406753,0,0,0.3000207677046074,0.6999792322953926,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6999792322953926,SELL,0.0686576854406753,1.0,0.0686576854406753,WIN
2026-05-21 00:00:00+05:30,SUZLON-EQ,52.87,0.0779269907319841,1,0,0.2389450595089612,0.7610549404910387,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7610549404910387,SELL,-0.0779269907319841,1.0,-0.0779269907319841,LOSS
2026-05-22 00:00:00+05:30,ITC-EQ,301.7,-0.0730858468677494,0,0,0.2946793253134434,0.7053206746865566,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7053206746865566,SELL,0.0730858468677494,1.0,0.0730858468677494,WIN
2026-05-22 00:00:00+05:30,SUZLON-EQ,53.75,0.0033488372093022,1,0,0.3111011541351479,0.6888988458648521,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6888988458648521,SELL,-0.0033488372093022,1.0,-0.0033488372093022,LOSS
